mir,sapiens,denisovan,altai,vindja,chag,DiffSapDen,DiffSapVin,DiffSapAlt,DiffDenVin,DiffDenAlt,DiffAltVin,DiffSapCha,DiffVinCha,DiffDenCha,DiffAltCha
miR-6819-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-668-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-10527-5p,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0
miR-3689c,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-552-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-664b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6790-5p,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-12122,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
miR-6780a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-10392-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4701-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6072,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-6888-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-3148,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-19b-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-548aw,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3940-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-106a-5p,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0
miR-30c-2-3p,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-29a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4697-3p,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-5700,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-188-5p,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-8064,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0
miR-5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3182,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0
miR-4685-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-508-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4665-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6830-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6866-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3192-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5187-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-92b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3925-5p,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
miR-4736,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-8053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-486-5p,1,10,10,10,10,-9,-9,-9,0,0,0,-9,0,0,0
miR-153-5p,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-4316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6884-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-195-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-208b-3p,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-3613-3p,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0
miR-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-21-3p,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
miR-4708-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4766-5p,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-449a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1303,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0
miR-4708-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4253,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-3689e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-16-1-3p,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-135a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6737-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6734-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-5191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-2682-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-548al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-10b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6785-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6124,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-190a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5590-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-4485-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5692c,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0
miR-548ae-5p,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
miR-6753-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-495-3p,58,58,58,58,58,0,0,0,0,0,0,0,0,0,0
miR-1271-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3620-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-7153-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-501-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-1292-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3064-5p,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-4643,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-7157-5p,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
miR-514b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-7704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-136-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-450a-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1260a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3120-3p,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0
miR-4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-103a-1-5p,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-4716-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-100-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5006-5p,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-5587-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4794,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-191-3p,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-185-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-8060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6742-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-450b-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-6791-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6871-3p,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0
miR-12128,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
miR-4518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3973,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0
miR-6516-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4668-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6500-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
